summary_scope,dataset,substation_id,fold_id,method,level,support,positive_support,tp,fp,fn,tn,precision,recall,f1,is_placeholder,status
alpha_loso_fold,Alpha,alpha_F,alpha_holdout_alpha_F,m8_xgb,day,365,302,275,18,27,45,0.9385665529010239,0.9105960264900662,0.9243697478991597,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_F,alpha_holdout_alpha_F,m8_xgb,interval,18564,5587,4805,594,782,12383,0.8899796258566401,0.8600322176481117,0.874749681412707,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_F,alpha_holdout_alpha_F,m7_dtr,day,365,302,211,63,91,0,0.7700729927007299,0.6986754966887417,0.7326388888888887,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_F,alpha_holdout_alpha_F,m7_dtr,interval,18564,5587,3464,1706,2123,11271,0.6700193423597679,0.6200107392160372,0.6440457376591987,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_E,alpha_holdout_alpha_E,m8_xgb,day,365,268,240,19,28,78,0.9266409266409267,0.8955223880597015,0.9108159392789373,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_E,alpha_holdout_alpha_E,m8_xgb,interval,18564,4127,3487,498,640,13939,0.8750313676286072,0.844923673370487,0.8597140039447732,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_E,alpha_holdout_alpha_E,m7_dtr,day,365,268,184,63,84,34,0.7449392712550608,0.6865671641791045,0.7145631067961165,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_E,alpha_holdout_alpha_E,m7_dtr,interval,18564,4127,2497,1315,1630,13122,0.6550367261280168,0.6050399806154592,0.6290464794054667,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_G,alpha_holdout_alpha_G,m8_xgb,day,365,251,221,22,30,92,0.9094650205761317,0.8804780876494024,0.8947368421052632,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_G,alpha_holdout_alpha_G,m8_xgb,interval,18564,4071,3379,550,692,13943,0.8600152710613388,0.8300171947924343,0.84475,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_G,alpha_holdout_alpha_G,m7_dtr,day,365,251,168,62,83,52,0.7304347826086957,0.6693227091633466,0.6985446985446985,True,placeholder_smoke_only
alpha_loso_fold,Alpha,alpha_G,alpha_holdout_alpha_G,m7_dtr,interval,18564,4071,2402,1351,1669,13142,0.6400213162803091,0.5900270203881111,0.6140081799591002,True,placeholder_smoke_only
beta_overall,Beta,,beta_transfer,m8_xgb,day,2928,557,451,67,106,2304,0.8706563706563707,0.8096947935368043,0.8390697674418605,True,placeholder_smoke_only
beta_overall,Beta,,beta_transfer,m8_xgb,interval,152100,10604,7847,2086,2757,139410,0.7899929527836504,0.7400037721614485,0.7641817207966111,True,placeholder_smoke_only
beta_overall,Beta,,beta_transfer,m7_dtr,day,2928,557,340,153,217,2218,0.6896551724137931,0.6104129263913824,0.6476190476190476,True,placeholder_smoke_only
beta_overall,Beta,,beta_transfer,m7_dtr,interval,152100,10604,5620,3905,4984,137591,0.5900262467191602,0.5299886835156544,0.5583983307665557,True,placeholder_smoke_only
beta_site,Beta,beta_B,beta_site_beta_B,m8_xgb,day,366,130,105,16,25,220,0.8677685950413223,0.8076923076923077,0.8366533864541832,True,placeholder_smoke_only
beta_site,Beta,beta_B,beta_site_beta_B,m8_xgb,interval,19032,2496,1847,491,649,16045,0.7899914456800684,0.7399839743589743,0.7641704592470003,True,placeholder_smoke_only
beta_site,Beta,beta_B,beta_site_beta_B,m7_dtr,day,366,130,79,35,51,201,0.6929824561403509,0.6076923076923076,0.6475409836065573,True,placeholder_smoke_only
beta_site,Beta,beta_B,beta_site_beta_B,m7_dtr,interval,19032,2496,1323,919,1173,15617,0.5900981266726137,0.5300480769230769,0.5584634867032503,True,placeholder_smoke_only
beta_site,Beta,beta_F,beta_site_beta_F,m8_xgb,day,366,118,96,14,22,234,0.8727272727272727,0.8135593220338984,0.8421052631578948,True,placeholder_smoke_only
beta_site,Beta,beta_F,beta_site_beta_F,m8_xgb,interval,18980,2746,2032,540,714,15694,0.7900466562986003,0.739985433357611,0.7641970665663783,True,placeholder_smoke_only
beta_site,Beta,beta_F,beta_site_beta_F,m7_dtr,day,366,118,72,32,46,216,0.6923076923076923,0.6101694915254238,0.6486486486486487,True,placeholder_smoke_only
