cohort,station,n_days,n_rpf,required_mwh,M7,M8,M9
alpha,alpha_A,1039,0,0.0,0.0,0.0,0.0
alpha,alpha_B,1055,27,29.6104685,0.002534510847274,0.0,0.839074532086735
alpha,alpha_C,1055,627,3752.316103,0.4948906465087054,0.7142466095954411,0.8556036369142087
alpha,alpha_D,1035,0,0.0,0.0,0.0,0.0
alpha,alpha_E,1035,700,6326.578003500001,0.5944306667960063,0.7385881946908764,0.8903221425570673
alpha,alpha_F,1033,842,13356.8295205,0.7303138952670232,0.8081649734296724,0.8923866183718033
alpha,alpha_G,1037,650,5828.545406499999,0.6042884949675645,0.7550146376228237,0.857992060070658
alpha,alpha_H,1039,0,0.0,0.0,0.0,0.0
alpha,alpha_I,1042,148,1199.690992,0.1055326387438737,0.7316905242449174,0.8058207359002989
alpha,alpha_J,1055,387,1542.0867715000002,0.2368406356116792,0.6710408010018339,0.8170990655042718
beta,beta_A,337,26,754.99691,0.1500552331213405,0.6925219399896266,0.95574060191616
beta,beta_B,231,125,4769.1721835,0.3761908689066,0.0124965589848471,0.8890926088713529
beta,beta_C,339,0,0.0,0.0,0.0,0.0
beta,beta_D,188,45,475.143817,0.2566057859261728,0.7166019484653682,0.9015861980944988
beta,beta_E,306,21,87.1145895,0.0251684805289256,0.8575229504515011,0.899125056861397
beta,beta_F,286,164,1578.0256439999998,0.7697198131946743,0.2775288094067371,0.930078607694169
beta,beta_G,283,85,2201.512978,0.5441199707437421,0.7819921760225165,0.8700366556153777
beta,beta_H,335,4,30.1796275,0.0058777162016904,0.5031976627463691,0.1734453642958175
