cohort,station,n_days,n_rpf,required_mwh,M7,M8,M9
alpha,alpha_A,1039,0,0.0,0.0,,
alpha,alpha_B,1055,27,29.6104685,0.0025349073756809,,0.9477192098891942
alpha,alpha_C,1055,627,3752.316103,0.5320934702317183,0.8426035520969202,0.9323476953304818
alpha,alpha_D,1035,0,0.0,0.0,0.0,
alpha,alpha_E,1035,700,6326.578003500001,0.6442670341402289,0.9571923031787942,0.9536873402741676
alpha,alpha_F,1033,842,13356.8295205,0.8164951255335483,0.9618738148926916,0.933217162072903
alpha,alpha_G,1037,650,5828.545406499999,0.6575320291643637,0.9610554145593846,0.9479823924333804
alpha,alpha_H,1039,0,0.0,0.0,,
alpha,alpha_I,1042,148,1199.690992,0.1073600795985575,0.8923948330096367,0.8599136606795783
alpha,alpha_J,1055,387,1542.0867715000002,0.2440139051133975,0.8174097363232163,0.8929382146804957
beta,beta_A,337,26,754.99691,0.1523833637238647,0.9252121824951848,0.9884132583433306
beta,beta_B,231,125,4769.1721835,0.7341523469961762,1.0,0.9478660044367612
beta,beta_C,339,0,0.0,0.0,0.0,
beta,beta_D,188,45,475.143817,0.3013419122008592,0.8326307257287777,0.9662549108355374
beta,beta_E,306,21,87.1145895,0.0257466990573616,0.9256212166620388,0.9113346090655576
beta,beta_F,286,164,1578.0256439999998,0.8089426355257849,0.9111315244678604,0.9496679852364251
beta,beta_G,283,85,2201.512978,0.5608669709130745,0.9060218136806072,0.9015351431655868
beta,beta_H,335,4,30.1796275,0.0058947197886414,0.5179086117232408,0.8178171899595065
