c_correct,c_keep,n_days,n_rpf,auto_share,review_days,review_share,review_yield,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,day_f1,energy_precision,energy_iou,fp_per_station_year,auto_fn_per_station_year,review_days_per_station_year,expected_day_precision,expected_fp,cohort
0.5,0.5,2288,470,1.0,0,0.0,,479,44,35,435,0.9081419624217119,0.925531914893617,0.9167544783983139,0.9255861373366465,0.891430504798635,7.024038461538462,5.587303321678322,0.0,0.9030725821205401,46.4282331642613,beta
0.505,0.495,2288,470,1.0,0,0.0,,479,44,35,435,0.9081419624217119,0.925531914893617,0.9167544783983139,0.9255861373366465,0.891430504798635,7.024038461538462,5.587303321678322,0.0,0.9030725821205401,46.4282331642613,beta
0.51,0.49,2288,470,0.9986888111888111,3,0.0013111888111888112,0.0,477,42,35,435,0.9119496855345912,0.925531914893617,0.9186906019007391,0.9257151315643728,0.8915501538730959,6.704763986013986,5.587303321678322,0.4789117132867133,0.9047279005369705,45.444791443865086,beta
0.515,0.485,2288,470,0.9982517482517482,4,0.0017482517482517483,0.0,477,42,35,435,0.9119496855345912,0.925531914893617,0.9186906019007391,0.9257151315643728,0.8915501538730959,6.704763986013986,5.587303321678322,0.638548951048951,0.9047279005369705,45.444791443865086,beta
0.52,0.48,2288,470,0.9973776223776224,6,0.0026223776223776225,0.16666666666666666,476,42,35,434,0.9117647058823529,0.9234042553191489,0.9175475687103594,0.9256689742252731,0.8909521017245925,6.704763986013986,5.587303321678322,0.9578234265734266,0.9055392431220733,44.96332027389308,beta
0.525,0.475,2288,470,0.9960664335664335,9,0.003933566433566434,0.3333333333333333,475,42,34,433,0.911578947368421,0.9212765957446809,0.9164021164021163,0.9256489096929101,0.8906923608194071,6.704763986013986,5.427666083916084,1.4367351398601398,0.9063447714752375,44.48623354926219,beta
0.53,0.47,2288,470,0.9943181818181818,13,0.005681818181818182,0.38461538461538464,474,42,33,432,0.9113924050632911,0.9191489361702128,0.9152542372881356,0.9255237285146917,0.8890750162967145,6.704763986013986,5.268028846153846,2.075284090909091,0.9071474793639934,44.012094781467106,beta
0.535,0.46499999999999997,2288,470,0.9925699300699301,17,0.00743006993006993,0.4117647058823529,473,42,32,431,0.9112050739957717,0.9170212765957447,0.9141039236479322,0.9254828948006231,0.8885486188708986,6.704763986013986,5.108391608391608,2.713833041958042,0.9079434781094561,43.542734854227255,beta
0.54,0.45999999999999996,2288,470,0.9921328671328671,18,0.007867132867132868,0.3888888888888889,472,41,32,431,0.913135593220339,0.9170212765957447,0.9150743099787686,0.9255521303059786,0.8886124383374244,6.545126748251748,5.108391608391608,2.8734702797202796,0.9087269677606103,43.08087121699189,beta
0.545,0.45499999999999996,2288,470,0.9908216783216783,21,0.009178321678321678,0.3333333333333333,471,40,32,431,0.9150743099787686,0.9170212765957447,0.9160467587672689,0.9256314708763709,0.8886855719183783,6.385489510489511,5.108391608391608,3.352381993006993,0.9095057013374656,42.62281467005374,beta
