c_correct,c_keep,n_days,n_rpf,auto_share,review_days,review_share,review_yield,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,day_f1,energy_precision,energy_iou,fp_per_station_year,auto_fn_per_station_year,review_days_per_station_year,expected_day_precision,expected_fp,no_review_band,cohort
0.7,0.05,2288,470,0.9152097902097902,194,0.08479020979020979,0.20618556701030927,442,21,9,421,0.9524886877828054,0.8957446808510638,0.9232456140350876,0.940667717682573,0.8945449477456121,3.352381993006993,1.4367351398601398,30.969624125874127,0.9285774530654839,31.568765745056073,False,beta
0.7,0.1,2288,470,0.9322552447552448,155,0.06774475524475525,0.23225806451612904,442,21,13,421,0.9524886877828054,0.8957446808510638,0.9232456140350876,0.940667717682573,0.8945449477456121,3.352381993006993,2.075284090909091,24.743771853146853,0.9285774530654839,31.568765745056073,False,beta
0.7,0.2,2288,470,0.9501748251748252,114,0.049825174825174824,0.2807017543859649,442,21,17,421,0.9524886877828054,0.8957446808510638,0.9232456140350876,0.940667717682573,0.8945449477456121,3.352381993006993,2.713833041958042,18.198645104895107,0.9285774530654839,31.568765745056073,False,beta
0.7,0.3,2288,470,0.9641608391608392,82,0.03583916083916084,0.3048780487804878,442,21,24,421,0.9524886877828054,0.8957446808510638,0.9232456140350876,0.940667717682573,0.8945449477456121,3.352381993006993,3.8312937062937062,13.090253496503497,0.9285774530654839,31.568765745056073,False,beta
0.7,0.5,2288,470,0.9838286713286714,37,0.016171328671328672,0.3783783783783784,442,21,35,421,0.9524886877828054,0.8957446808510638,0.9232456140350876,0.940667717682573,0.8945449477456121,3.352381993006993,5.587303321678322,5.9065777972027975,0.9285774530654839,31.568765745056073,False,beta
0.7,0.7,2288,470,1.0,0,0.0,,442,21,49,421,0.9524886877828054,0.8957446808510638,0.9232456140350876,0.940667717682573,0.8945449477456121,3.352381993006993,7.822224650349651,0.0,0.9285774530654839,31.568765745056073,True,beta
0.75,0.05,2288,470,0.9086538461538461,209,0.09134615384615384,0.23923444976076555,427,16,9,411,0.9625292740046838,0.874468085106383,0.9163879598662207,0.942797195301676,0.8875037467788509,2.554195804195804,1.4367351398601398,33.36418269230769,0.9357208518143317,27.44719627528039,False,beta
0.75,0.1,2288,470,0.9256993006993007,170,0.0743006993006993,0.27058823529411763,427,16,13,411,0.9625292740046838,0.874468085106383,0.9163879598662207,0.942797195301676,0.8875037467788509,2.554195804195804,2.075284090909091,27.13833041958042,0.9357208518143317,27.44719627528039,False,beta
0.75,0.2,2288,470,0.9436188811188811,129,0.05638111888111888,0.32558139534883723,427,16,17,411,0.9625292740046838,0.874468085106383,0.9163879598662207,0.942797195301676,0.8875037467788509,2.554195804195804,2.713833041958042,20.593203671328673,0.9357208518143317,27.44719627528039,False,beta
0.75,0.3,2288,470,0.9576048951048951,97,0.042395104895104896,0.36082474226804123,427,16,24,411,0.9625292740046838,0.874468085106383,0.9163879598662207,0.942797195301676,0.8875037467788509,2.554195804195804,3.8312937062937062,15.484812062937063,0.9357208518143317,27.44719627528039,False,beta
0.75,0.5,2288,470,0.9772727272727273,52,0.022727272727272728,0.46153846153846156,427,16,35,411,0.9625292740046838,0.874468085106383,0.9163879598662207,0.942797195301676,0.8875037467788509,2.554195804195804,5.587303321678322,8.301136363636363,0.9357208518143317,27.44719627528039,False,beta
0.75,0.75,2288,470,1.0,0,0.0,,427,16,59,411,0.9625292740046838,0.874468085106383,0.9163879598662207,0.942797195301676,0.8875037467788509,2.554195804195804,9.418597027972028,0.0,0.9357208518143317,27.44719627528039,True,beta
0.8,0.05,2288,470,0.8994755244755245,230,0.10052447552447552,0.3,406,14,9,392,0.9655172413793104,0.8340425531914893,0.8949771689497718,0.9449987893399555,0.8672953548850036,2.2349213286713288,1.4367351398601398,36.71656468531469,0.9437413728236412,22.841002633601647,False,beta
0.8,0.1,2288,470,0.9165209790209791,191,0.08347902097902098,0.3403141361256545,406,14,13,392,0.9655172413793104,0.8340425531914893,0.8949771689497718,0.9449987893399555,0.8672953548850036,2.2349213286713288,2.075284090909091,30.490712412587413,0.9437413728236412,22.841002633601647,False,beta
0.8,0.2,2288,470,0.9344405594405595,150,0.06555944055944056,0.4066666666666667,406,14,17,392,0.9655172413793104,0.8340425531914893,0.8949771689497718,0.9449987893399555,0.8672953548850036,2.2349213286713288,2.713833041958042,23.945585664335663,0.9437413728236412,22.841002633601647,False,beta
0.8,0.3,2288,470,0.9484265734265734,118,0.051573426573426576,0.4576271186440678,406,14,24,392,0.9655172413793104,0.8340425531914893,0.8949771689497718,0.9449987893399555,0.8672953548850036,2.2349213286713288,3.8312937062937062,18.837194055944057,0.9437413728236412,22.841002633601647,False,beta
0.8,0.5,2288,470,0.9680944055944056,73,0.03190559440559441,0.589041095890411,406,14,35,392,0.9655172413793104,0.8340425531914893,0.8949771689497718,0.9449987893399555,0.8672953548850036,2.2349213286713288,5.587303321678322,11.653518356643357,0.9437413728236412,22.841002633601647,False,beta
0.8,0.8,2288,470,1.0,0,0.0,,406,14,78,392,0.9655172413793104,0.8340425531914893,0.8949771689497718,0.9449987893399555,0.8672953548850036,2.2349213286713288,12.451704545454545,0.0,0.9437413728236412,22.841002633601647,True,beta
0.85,0.05,2288,470,0.8872377622377622,258,0.11276223776223776,0.3643410852713178,378,11,9,367,0.9708994708994709,0.7808510638297872,0.865566037735849,0.9544461077392733,0.8424003550443142,1.7560096153846154,1.4367351398601398,41.18640734265735,0.9526546992171747,17.89652369590796,False,beta
0.85,0.1,2288,470,0.9042832167832168,219,0.09571678321678322,0.410958904109589,378,11,13,367,0.9708994708994709,0.7808510638297872,0.865566037735849,0.9544461077392733,0.8424003550443142,1.7560096153846154,2.075284090909091,34.960555069930074,0.9526546992171747,17.89652369590796,False,beta
0.85,0.2,2288,470,0.9222027972027972,178,0.0777972027972028,0.48314606741573035,378,11,17,367,0.9708994708994709,0.7808510638297872,0.865566037735849,0.9544461077392733,0.8424003550443142,1.7560096153846154,2.713833041958042,28.415428321678323,0.9526546992171747,17.89652369590796,False,beta
